epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5307.5,0.95747,0.86755,1.10689,0.57188,0.46249,0.39086,0.20521,1.84438,2.38529,2.04743,0.0005941,0.0005941,0.0005941
43,5478.72,1.01015,0.88269,1.13632,0.49327,0.41106,0.34125,0.17445,1.87899,2.44783,2.07794,0.0005842,0.0005842,0.0005842
44,5650.61,1.00911,0.94042,1.12022,0.50244,0.42164,0.2664,0.12977,1.95717,2.4964,2.15268,0.0005743,0.0005743,0.0005743
45,5820.7,0.9944,0.90734,1.13649,0.56916,0.31029,0.2173,0.11494,1.9276,2.70396,2.07924,0.0005644,0.0005644,0.0005644
46,5994.46,0.99325,0.89329,1.13108,0.62127,0.3073,0.24979,0.13766,1.85642,2.6985,1.98698,0.0005545,0.0005545,0.0005545
47,6167.65,1.01754,0.86844,1.11964,0.64465,0.3054,0.28338,0.15308,1.88125,2.56025,2.06466,0.0005446,0.0005446,0.0005446
48,6294.22,1.01429,0.89969,1.14134,0.24377,0.3363,0.25123,0.13631,1.902,2.69138,2.07054,0.0005347,0.0005347,0.0005347
49,6419.85,0.99575,0.87708,1.12496,0.52937,0.2309,0.14425,0.06945,1.90855,3.22239,2.11053,0.0005248,0.0005248,0.0005248
50,6546.23,0.97736,0.85144,1.11621,0.53278,0.28508,0.18116,0.08838,1.80168,3.02018,2.01202,0.0005149,0.0005149,0.0005149
51,6671.07,0.98889,0.8991,1.12835,0.277,0.30646,0.25027,0.12881,1.78543,2.69883,1.96208,0.000505,0.000505,0.000505
52,6795.73,0.98768,0.85061,1.11953,0.28441,0.34794,0.26893,0.14001,1.86216,2.59115,2.00444,0.0004951,0.0004951,0.0004951
53,6920.14,0.95413,0.81353,1.09215,0.33138,0.31259,0.27826,0.1483,2.03821,2.537,2.13045,0.0004852,0.0004852,0.0004852
54,7044.33,0.9546,0.83291,1.11045,0.31078,0.31704,0.25631,0.13616,2.09713,2.56368,2.17279,0.0004753,0.0004753,0.0004753
55,7168.94,1.00971,0.8639,1.1186,0.58814,0.3111,0.23111,0.11417,2.04496,2.69142,2.12294,0.0004654,0.0004654,0.0004654
56,7293.54,0.96421,0.80939,1.09893,0.63122,0.3193,0.25427,0.12508,2.01428,2.6972,2.15498,0.0004555,0.0004555,0.0004555
57,7419.08,1.00875,0.86909,1.1153,0.34173,0.36656,0.29679,0.15328,2.00846,2.5064,2.22398,0.0004456,0.0004456,0.0004456
58,7544.08,0.94705,0.8105,1.09124,0.35715,0.31406,0.29831,0.14927,2.01834,2.55185,2.27106,0.0004357,0.0004357,0.0004357
59,7669.03,0.9598,0.82869,1.09081,0.35537,0.30963,0.28385,0.14653,2.09041,2.62108,2.29673,0.0004258,0.0004258,0.0004258
60,7793.89,0.95867,0.8217,1.08836,0.69023,0.29905,0.27589,0.14101,2.05538,2.689,2.27978,0.0004159,0.0004159,0.0004159
